SampleID  Histone  ds                   dn
Ax36G     H2A      1.5461357192827407   0.03890646615433978
Ax36G     H2B      2.974753516021458    0.022622284015824678
Ax36G     H3       1.61120811961148     0.03936856127732481
Ax36G     H4       0.5701282344859171   0.026307288429454696
BR2       H2A      1.2448163507109      0.04816562288422479
BR2       H2B      2.9289099526066353   0.012477784360189573
BR2       H3       1.694575471698113    0.0411209147574124
BR2       H4       0.9972826086956522   0.019663345410628023
Br        H2A      2.083877525874818    0.021564546222629016
Br        H2B      3.931505641748945    0.019517345019813264
Br        H3       2.1342147435897436   0.022626311989292797
Br        H4       0.9892649199417761   0.01866400672350453
GR12      H2A      1.9180359044576298   0.05569456216991571
GR12      H2B      3.43168349429324     0.04079764575813747
GR12      H3       1.5906040268456376   0.053878738917888705
GR12      H4       1.5675702512163654   0.03957895962475947
GR15      H2A      1.2187716262975778   0.03232204646564508
GR15      H2B      4.227303638218293    0.006864161849710984
GR15      H3       1.6535379369138956   0.039903787601997316
GR15      H4       1.3167155425219943   0.012808349146110058
GR6       H2A      1.1080062816966354   0.07704417564051881
GR6       H2B      3.3267902010050245   0.05550891029220185
GR6       H3       2.026938398065159    0.0749287814428656
GR6       H4       1.3647670159298062   0.05462332517980363
Gn1       H2A      2.299398692810459    0.023020541549953217
Gn1       H2B      3.969796979697969    0.0253623576643379
Gn1       H3       1.5963059100632107   0.02259664410864921
Gn1       H4       0.6200654504225924   0.020549886621315232
HP14      H2A      1.1685823754789277   0.057142857142857155
HP14      H2B      3.4627306273062737   0.012398523985239855
HP14      H3       1.96029520295203     0.04
HP14      H4       1.7642424242424244   0.018749999999999996
Ianthe    H2A      2.1749703440094907   0.001016776817488561
Ianthe    H2B      3.8572213069741905   0.00542284459088413
Ianthe    H3       1.074193548387097    0.006586021505376344
Ianthe    H4       1.026315789473684    0.0023496240601503762
Kan       H2A      2.0577455048409403   0.004367549232694461
Kan       H2B      3.5654180238870787   0.0032107957189390413
Kan       H3       1.8634682332463013   0.007879522566206639
Kan       H4       0.43038548752834466  0.003925736961451247
Kn4       H2A      1.7041666666666657   0.013265306122448979
Kn4       H2B      3.084146341463415    0.03978658536585366
Kn4       H3       1.7449999999999999   0.08277777777777778
Kn4       H4       0.8932926829268293   0.03475609756097561
LY1       H2A      1.7664277180406214   0.04518689196108551
LY1       H2B      3.114130434782609    0.021890096618357488
LY1       H3       2.382716049382716    0.08094135802469136
LY1       H4       0.3843599033816425   0.016983695652173912
MP2       H2A      2.502288329519451    0.03161436199193636
MP2       H2B      4.4442831215970955   0.009618874773139746
MP2       H3       1.2150375939849622   0.06588345864661654
MP2       H4       0.4703007518796993   0.012828947368421054
MP5       H2A      2.031084889045439    0.10147981348227897
MP5       H2B      3.9767369375495853   0.0807131523129484
MP5       H3       2.0516242317822675   0.1018172443106597
MP5       H4       0.2036107125777143   0.06873740349798475
MP7       H2A      2.067012537829658    0.03803328237909946
MP7       H2B      4.088732394366197    0.015288024442954018
MP7       H3       0.905156831472621    0.043673894331789066
MP7       H4       0.5280696168948319   0.018577265353769648
MV35      H2A      1.1353815971128924   0.11665683421623559
MV35      H2B      3.3862964772674427   0.06888806897881311
MV35      H3       1.576767362192464    0.09630399964408068
MV35      H4       1.130047667267653    0.06965839634280442
Mv        H2A      0.8537037037037039   0.004346834519248313
Mv        H2B      3.3613396004700355   0.002195945945945946
Mv        H3       1.845208070617907    0.011168032786885244
Mv        H4       1.993124246079614    0.0025407117008443905
Pest      H2A      0.6133899104196135   0.03766192945825195
Pest      H2B      7.433760683760683    0.010931776556776558
Pest      H3       3.722679580306699    0.029580306698950763
Pest      H4       3.4160359508041624   0.020151934946163897
Pg14      H2A      1.8325825825825826   0.029568854568854566
Pg14      H2B      3.5386111111111105   0.01013888888888889
Pg14      H3       1.1118578255675025   0.01952658303464755
Pg14      H4       1.7270531400966185   0.005698973429951691
Pg7       H2A      1.9410021551724144   0.06435306342364534
Pg7       H2B      3.4528109296482428   0.024400836025364928
Pg7       H3       1.8760575296108288   0.05315911791958748
Pg7       H4       1.5689812822719447   0.03125384189820506
Po72      H2A      1.4183440718619216   0.026291898737579047
Po72      H2B      3.6190959878110727   0.030894187283852195
Po72      H3       1.9716508716508707   0.025942408085265222
Po72      H4       1.0010148769014011   0.020644216566202387
Po92      H2A      1.7838818565400842   0.03528933092224232
Po92      H2B      3.730150753768843    0.01578756879636276
Po92      H3       1.577351485148514    0.03378418198962754
Po92      H4       1.1725888324873095   0.02202380952380952
Ri13      H2A      2.0034430253170306   0.10136917477776979
Ri13      H2B      3.5561648351648354   0.0738270277341708
Ri13      H3       0.9525608165834795   0.1036893038612991
Ri13      H4       0.8395657823982798   0.07076254278373827
Rr3       H2A      2.020240738990738    0.09093292687042694
Rr3       H2B      3.0853686075597624   0.06930648475343425
Rr3       H3       1.25634158783157     0.09038122123733575
Rr3       H4       0.4614247691727906   0.06477476401338748
TP1       H2A      1.4150389962699215   0.04715520999854674
TP1       H2B      2.6322857619206403   0.03299135426094418
TP1       H3       2.100896414342631    0.04961226522481504
TP1       H4       0.43916144745998587  0.034041447128607835
Waik      H2A      1.6243109151047415   0.011645534729878719
Waik      H2B      2.709771573604061    0.0011511965192168238
Waik      H3       2.423975409836066    0.00896272443403591
Waik      H4       0.16956967213114757  0.007124103483606558
Yellow2   H2A      1.9850543478260867   0.024248558118899734
Yellow2   H2B      3.0494240059457445   0.00487736900780379
Yellow2   H3       1.994415636218588    0.010271240526525728
Yellow2   H4       0.4361702127659574   0.012835337650323774
